Type_Specific_Rank,Gene_Rank,Gene_Symbol,UniProt_Accession,Source_ChEMBL_IDs,Source_Target_Names,Source_Target_Types,Source_Target_Entity_Count,Component_Relationship,Complex_Derived,Chimeric_Derived,Mutation_Context,D_Score,I_Score,Max_Activity_Score,PASS_Evidence_Type,Raw_Evidence_Record_Count,Score_Band_Descriptive,Prediction_Included,Evidence_Type,Organism,Tax_ID,Query_Compound,PubChem_CID,Source_Database,Source_Version,Retrieval_Date,Activity_Score_Interpretation,Pharmacologic_Direction,Source_URL
1,2,SLC22A2,O15244,CHEMBL1743122,Solute carrier family 22 member 2,SINGLE PROTEIN,1,single_protein,false,false,,,0.5242,0.5242,I,1,>=0.50,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
2,4,SIRT1,Q96EB6,CHEMBL4506,NAD-dependent protein deacetylase sirtuin-1,SINGLE PROTEIN,1,single_protein,false,false,,,0.4695,0.4695,I,1,0.40-<0.50,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
3,5,GLRA1,P23415,CHEMBL5845,Glycine receptor subunit alpha-1,SINGLE PROTEIN,1,single_protein,false,false,,,0.3681,0.3681,I,1,0.30-<0.40,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
4,8,ABCB11,O95342,CHEMBL6020,Bile salt export pump,SINGLE PROTEIN,1,single_protein,false,false,,,0.2922,0.2922,I,1,0.20-<0.30,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
5,10,TOP2A,P11388,CHEMBL1806,DNA topoisomerase 2-alpha,SINGLE PROTEIN,1,single_protein,false,false,,,0.2638,0.2638,I,1,0.20-<0.30,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
6,14,SLC22A1,O15245,CHEMBL5685,Solute carrier family 22 member 1,SINGLE PROTEIN,1,single_protein,false,false,,,0.227,0.227,I,1,0.20-<0.30,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
7,16,OPRK1,P41145,CHEMBL237,Kappa-type opioid receptor,SINGLE PROTEIN,1,single_protein,false,false,,0.1097,0.2131,0.2131,D+I,2,0.20-<0.30,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
8,24,SLC47A2,Q86VL8,CHEMBL1743127,Multidrug and toxin extrusion protein 2,SINGLE PROTEIN,1,single_protein,false,false,,,0.1397,0.1397,I,1,0.10-<0.20,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
9,26,F2R,P25116,CHEMBL3974,Proteinase-activated receptor 1,SINGLE PROTEIN,1,single_protein,false,false,,,0.1169,0.1169,I,1,0.10-<0.20,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
10,30,RELA,Q04206,CHEMBL5533,Transcription factor p65,SINGLE PROTEIN,1,single_protein,false,false,,0.026,0.0966,0.0966,D+I,2,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
11,32,DNMT1,P26358,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,SINGLE PROTEIN,1,single_protein,false,false,,,0.0879,0.0879,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
12,38,SMPD1,P17405,CHEMBL2760,Sphingomyelin phosphodiesterase,SINGLE PROTEIN,1,single_protein,false,false,,,0.0808,0.0808,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
13,45,PPIA,P62937,CHEMBL1949,Peptidyl-prolyl cis-trans isomerase A,SINGLE PROTEIN,1,single_protein,false,false,,,0.0709,0.0709,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
14,46,PRKAA2,P54646,CHEMBL3038455,AMPK alpha2/beta1/gamma1,PROTEIN COMPLEX,1,protein_complex_component,true,false,,,0.0687,0.0687,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
15,47,PRKAB1,Q9Y478,CHEMBL3038455,AMPK alpha2/beta1/gamma1,PROTEIN COMPLEX,1,protein_complex_component,true,false,,,0.0687,0.0687,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
16,48,PRKAG1,P54619,CHEMBL3038455,AMPK alpha2/beta1/gamma1,PROTEIN COMPLEX,1,protein_complex_component,true,false,,,0.0687,0.0687,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
17,50,SF3B3,Q15393,CHEMBL1250378,Splicing factor 3B subunit 3,SINGLE PROTEIN,1,single_protein,false,false,,,0.0661,0.0661,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
18,27,PRKCD,Q05655,CHEMBL2996,Protein kinase C delta type,SINGLE PROTEIN,1,single_protein,false,false,,0.1079,0.0611,0.1079,D+I,2,0.10-<0.20,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
19,59,RORC,P51449,CHEMBL1741186,Nuclear receptor ROR-gamma,SINGLE PROTEIN,1,single_protein,false,false,,,0.0511,0.0511,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
20,60,ABCC9,O60706,CHEMBL2095198,"Sulfonylurea receptor 2, Kir6.2",PROTEIN COMPLEX,1,protein_complex_component,true,false,,,0.0488,0.0488,I,1,0.01-<0.05,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
21,61,KCNJ11,Q14654,CHEMBL2095198,"Sulfonylurea receptor 2, Kir6.2",PROTEIN COMPLEX,1,protein_complex_component,true,false,,,0.0488,0.0488,I,1,0.01-<0.05,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
22,51,PRKCE,Q02156,CHEMBL3582,Protein kinase C epsilon type,SINGLE PROTEIN,1,single_protein,false,false,,0.0631,0.0372,0.0631,D+I,2,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
23,68,EIF4A1,P60842,CHEMBL2052028,Eukaryotic initiation factor 4A-I,SINGLE PROTEIN,1,single_protein,false,false,,,0.0365,0.0365,I,1,0.01-<0.05,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
24,71,NR2C2,P49116,CHEMBL3885612,Nuclear receptor subfamily 2 group C member 2/TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,CHIMERIC PROTEIN,1,chimeric_protein_component,false,true,,,0.0333,0.0333,I,1,0.01-<0.05,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
25,72,TAB1,Q15750,CHEMBL3885612,Nuclear receptor subfamily 2 group C member 2/TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,CHIMERIC PROTEIN,1,chimeric_protein_component,false,true,,,0.0333,0.0333,I,1,0.01-<0.05,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
26,73,CASP1,P29466,CHEMBL4801,Caspase-1,SINGLE PROTEIN,1,single_protein,false,false,,,0.0329,0.0329,I,1,0.01-<0.05,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
27,40,PRKCA,P17252,CHEMBL299,Protein kinase C alpha type,SINGLE PROTEIN,1,single_protein,false,false,,0.0798,0.0328,0.0798,D+I,2,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
28,74,SCN1A,P35498,CHEMBL1845,Sodium channel protein type 1 subunit alpha,SINGLE PROTEIN,1,single_protein,false,false,,,0.0318,0.0318,I,1,0.01-<0.05,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
29,76,DNMT3B,Q9UBC3,CHEMBL6095,DNA (cytosine-5)-methyltransferase 3B,SINGLE PROTEIN,1,single_protein,false,false,,,0.0277,0.0277,I,1,0.01-<0.05,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
30,79,NR3C1,P04150,CHEMBL2034,Glucocorticoid receptor,SINGLE PROTEIN,1,single_protein,false,false,,0.0123,0.0244,0.0244,D+I,2,0.01-<0.05,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
31,41,PKM,P14618,CHEMBL1075189,Pyruvate kinase PKM,SINGLE PROTEIN,1,single_protein,false,false,,0.0789,0.0211,0.0789,D+I,2,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
32,85,ADK,P55263,CHEMBL3589,Adenosine kinase,SINGLE PROTEIN,1,single_protein,false,false,,,0.0193,0.0193,I,1,0.01-<0.05,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
33,88,SOAT2,O75908,CHEMBL4465,Sterol O-acyltransferase 2,SINGLE PROTEIN,1,single_protein,false,false,,0.0009,0.0184,0.0184,D+I,2,0.01-<0.05,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
34,90,KCNA3,P22001,CHEMBL4633,Potassium voltage-gated channel subfamily A member 3,SINGLE PROTEIN,1,single_protein,false,false,,,0.0169,0.0169,I,1,0.01-<0.05,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
35,92,NFE2L2,Q16236,CHEMBL1075094,Nuclear factor erythroid 2-related factor 2,SINGLE PROTEIN,1,single_protein,false,false,,,0.0137,0.0137,I,1,0.01-<0.05,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
36,93,OPRD1,P41143,CHEMBL236,Delta-type opioid receptor,SINGLE PROTEIN,1,single_protein,false,false,,,0.0135,0.0135,I,1,0.01-<0.05,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
37,17,SOAT1,P35610,CHEMBL2782,Sterol O-acyltransferase 1,SINGLE PROTEIN,1,single_protein,false,false,,0.1935,0.01,0.1935,D+I,2,0.10-<0.20,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
38,95,VDR,P11473,CHEMBL1977,Vitamin D3 receptor,SINGLE PROTEIN,1,single_protein,false,false,,0.0061,0.004,0.0061,D+I,2,>0-<0.01,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
39,67,STING1,Q86WV6,CHEMBL4523377,Stimulator of interferon genes protein,SINGLE PROTEIN,1,single_protein,false,false,UNDEFINED MUTATION,0.0369,0.0031,0.0369,D+I,2,0.01-<0.05,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
40,98,FDPS,P14324,CHEMBL1782,Farnesyl pyrophosphate synthase,SINGLE PROTEIN,1,single_protein,false,false,,,0.0023,0.0023,I,1,>0-<0.01,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
