Target_Rank,ChEMBL_Target_ID_Normalized,ChEMBL_Pref_Name,Target_Name_Original,ChEMBL_Target_Type,Organism,Tax_ID,Component_Gene_Symbols,Component_UniProt_Accessions,Component_Count,D_Score,I_Score,Max_Activity_Score,PASS_Evidence_Type,D_Propensity_Score_Raw,D_Propensity_Score_Clean,D_Propensity_Status,I_Propensity_Score_Raw,I_Propensity_Score_Clean,I_Propensity_Status,Raw_Record_Count,Raw_ChEMBL_IDs,Mutation_Context,Score_Band_Descriptive,Prediction_Included,Evidence_Type,Query_Compound,PubChem_CID,Source_Database,Source_Version,Retrieval_Date,Activity_Score_Interpretation,Pharmacologic_Direction,Source_URL
1,CHEMBL2755,"Glutathione reductase, mitochondrial","Glutathione reductase, mitochondrial",SINGLE PROTEIN,Homo sapiens,9606,GSR,P00390,1,0.5345,,0.5345,D,0.077,0.077,Positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL2755,,>=0.50,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
2,CHEMBL1743122,Solute carrier family 22 member 2,Solute carrier family 22 member 2,SINGLE PROTEIN,Homo sapiens,9606,SLC22A2,O15244,1,,0.5242,0.5242,I,,,not_applicable_no_D_record,0.3046,0.3046,Positive_propensity_returned,1,CHEMBL1743122,,>=0.50,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
3,CHEMBL2056,D(1A) dopamine receptor,D(1A) dopamine receptor,SINGLE PROTEIN,Homo sapiens,9606,DRD1,P21728,1,0.483,,0.483,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL2056,,0.40-<0.50,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
4,CHEMBL4506,NAD-dependent protein deacetylase sirtuin-1,NAD-dependent protein deacetylase sirtuin-1,SINGLE PROTEIN,Homo sapiens,9606,SIRT1,Q96EB6,1,,0.4695,0.4695,I,,,not_applicable_no_D_record,0.4754,0.4754,Positive_propensity_returned,1,CHEMBL4506,,0.40-<0.50,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
5,CHEMBL5845,Glycine receptor subunit alpha-1,Glycine receptor subunit alpha-1,SINGLE PROTEIN,Homo sapiens,9606,GLRA1,P23415,1,,0.3681,0.3681,I,,,not_applicable_no_D_record,0.3463,0.3463,Positive_propensity_returned,1,CHEMBL5845,,0.30-<0.40,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
6,CHEMBL4101,cAMP-dependent protein kinase catalytic subunit alpha,cAMP-dependent protein kinase catalytic subunit alpha,SINGLE PROTEIN,Homo sapiens,9606,PRKACA,P17612,1,0.3238,,0.3238,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL4101,,0.30-<0.40,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
7,CHEMBL3272,Cathepsin L2,Cathepsin L2,SINGLE PROTEIN,Homo sapiens,9606,CTSV,O60911,1,0.3152,,0.3152,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL3272,,0.30-<0.40,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
8,CHEMBL6020,Bile salt export pump,Bile salt export pump,SINGLE PROTEIN,Homo sapiens,9606,ABCB11,O95342,1,,0.2922,0.2922,I,,,not_applicable_no_D_record,0.32,0.32,Positive_propensity_returned,1,CHEMBL6020,,0.20-<0.30,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
9,CHEMBL1909484,Sentrin-specific protease 1,Sentrin-specific protease 1,SINGLE PROTEIN,Homo sapiens,9606,SENP1,Q9P0U3,1,0.2798,,0.2798,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL1909484,,0.20-<0.30,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
10,CHEMBL1806,DNA topoisomerase 2-alpha,DNA topoisomerase 2-alpha,SINGLE PROTEIN,Homo sapiens,9606,TOP2A,P11388,1,,0.2638,0.2638,I,,,not_applicable_no_D_record,-1,,No_positive_propensity_returned,1,CHEMBL1806,,0.20-<0.30,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
11,CHEMBL3243,Receptor-type tyrosine-protein phosphatase C,Receptor-type tyrosine-protein phosphatase C,SINGLE PROTEIN,Homo sapiens,9606,PTPRC,P08575,1,0.2558,,0.2558,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL3243,,0.20-<0.30,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
12,CHEMBL1781,DNA topoisomerase 1,DNA topoisomerase 1,SINGLE PROTEIN,Homo sapiens,9606,TOP1,P11387,1,0.2427,,0.2427,D,0.1162,0.1162,Positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL1781,,0.20-<0.30,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
13,CHEMBL3425389,Serine/threonine-protein phosphatase 5,Serine/threonine-protein phosphatase 5,SINGLE PROTEIN,Homo sapiens,9606,PPP5C,P53041,1,0.2341,,0.2341,D,0.2004,0.2004,Positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL3425389,,0.20-<0.30,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
14,CHEMBL5685,Solute carrier family 22 member 1,Solute carrier family 22 member 1,SINGLE PROTEIN,Homo sapiens,9606,SLC22A1,O15245,1,,0.227,0.227,I,,,not_applicable_no_D_record,0.2288,0.2288,Positive_propensity_returned,1,CHEMBL5685,,0.20-<0.30,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
15,CHEMBL1681631,Acyl-protein thioesterase 1,Acyl-protein thioesterase 1,SINGLE PROTEIN,Homo sapiens,9606,LYPLA1,O75608,1,0.2199,,0.2199,D,0.0697,0.0697,Positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL1681631,,0.20-<0.30,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
16,CHEMBL237,Kappa-type opioid receptor,Kappa-type opioid receptor,SINGLE PROTEIN,Homo sapiens,9606,OPRK1,P41145,1,0.1097,0.2131,0.2131,D+I,0.2607,0.2607,Positive_propensity_returned,0.2607,0.2607,Positive_propensity_returned,2,CHEMBL237,,0.20-<0.30,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
17,CHEMBL2782,Sterol O-acyltransferase 1,Sterol O-acyltransferase 1,SINGLE PROTEIN,Homo sapiens,9606,SOAT1,P35610,1,0.1935,0.01,0.1935,D+I,0.1197,0.1197,Positive_propensity_returned,0.1197,0.1197,Positive_propensity_returned,2,CHEMBL2782,,0.10-<0.20,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
18,CHEMBL2885,Carbonic anhydrase 3,Carbonic anhydrase 3,SINGLE PROTEIN,Homo sapiens,9606,CA3,P07451,1,0.1871,,0.1871,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL2885,,0.10-<0.20,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
19,CHEMBL3396,DNA topoisomerase 2-beta,DNA topoisomerase 2-beta,SINGLE PROTEIN,Homo sapiens,9606,TOP2B,Q02880,1,0.1832,,0.1832,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL3396,,0.10-<0.20,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
20,CHEMBL4105728,Cyclic GMP-AMP synthase,Cyclic GMP-AMP synthase,SINGLE PROTEIN,Homo sapiens,9606,CGAS,Q8N884,1,0.1679,,0.1679,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL4105728,,0.10-<0.20,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
21,CHEMBL1697657,Peptidyl-prolyl cis-trans isomerase D,Peptidyl-prolyl cis-trans isomerase D,SINGLE PROTEIN,Homo sapiens,9606,PPID,Q08752,1,0.1674,,0.1674,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL1697657,,0.10-<0.20,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
22,CHEMBL1825,Tumor necrosis factor,Tumor necrosis factor,SINGLE PROTEIN,Homo sapiens,9606,TNF,P01375,1,0.1438,,0.1438,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL1825,,0.10-<0.20,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
23,CHEMBL3776,Caspase-8,Caspase-8,SINGLE PROTEIN,Homo sapiens,9606,CASP8,Q14790,1,0.1402,,0.1402,D,0.0553,0.0553,Positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL3776,,0.10-<0.20,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
24,CHEMBL1743127,Multidrug and toxin extrusion protein 2,Multidrug and toxin extrusion protein 2,SINGLE PROTEIN,Homo sapiens,9606,SLC47A2,Q86VL8,1,,0.1397,0.1397,I,,,not_applicable_no_D_record,0.0364,0.0364,Positive_propensity_returned,1,CHEMBL1743127,,0.10-<0.20,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
25,CHEMBL217,D(2) dopamine receptor,D(2) dopamine receptor,SINGLE PROTEIN,Homo sapiens,9606,DRD2,P14416,1,0.134,,0.134,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL217,,0.10-<0.20,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
26,CHEMBL3974,Proteinase-activated receptor 1,Proteinase-activated receptor 1,SINGLE PROTEIN,Homo sapiens,9606,F2R,P25116,1,,0.1169,0.1169,I,,,not_applicable_no_D_record,-1,,No_positive_propensity_returned,1,CHEMBL3974,,0.10-<0.20,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
27,CHEMBL2996,Protein kinase C delta type,Protein kinase C delta type,SINGLE PROTEIN,Homo sapiens,9606,PRKCD,Q05655,1,0.1079,0.0611,0.1079,D+I,0.0685,0.0685,Positive_propensity_returned,0.0685,0.0685,Positive_propensity_returned,2,CHEMBL2996,,0.10-<0.20,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
28,CHEMBL5866,Catenin beta-1,Catenin beta-1,SINGLE PROTEIN,Homo sapiens,9606,CTNNB1,P35222,1,0.1043,,0.1043,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL5866,,0.10-<0.20,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
29,CHEMBL1835,Thromboxane-A synthase,Thromboxane-A synthase,SINGLE PROTEIN,Homo sapiens,9606,TBXAS1,P24557,1,0.1032,,0.1032,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL1835,,0.10-<0.20,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
30,CHEMBL5533,Transcription factor p65,Transcription factor p65,SINGLE PROTEIN,Homo sapiens,9606,RELA,Q04206,1,0.026,0.0966,0.0966,D+I,-1,,No_positive_propensity_returned,-1,,No_positive_propensity_returned,2,CHEMBL5533,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
31,CHEMBL5957,5'-nucleotidase,5'-nucleotidase,SINGLE PROTEIN,Homo sapiens,9606,NT5E,P21589,1,0.0897,,0.0897,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL5957,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
32,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,DNA (cytosine-5)-methyltransferase 1,SINGLE PROTEIN,Homo sapiens,9606,DNMT1,P26358,1,,0.0879,0.0879,I,,,not_applicable_no_D_record,-1,,No_positive_propensity_returned,1,CHEMBL1993,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
33,CHEMBL5409,G-protein coupled bile acid receptor 1,G-protein coupled bile acid receptor 1,SINGLE PROTEIN,Homo sapiens,9606,GPBAR1,Q8TDU6,1,0.0863,,0.0863,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL5409,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
34,CHEMBL5552,Serine/threonine-protein kinase 25,Serine/threonine-protein kinase 25,SINGLE PROTEIN,Homo sapiens,9606,STK25,O00506,1,0.0854,,0.0854,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL5552,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
35,CHEMBL2938,Protein kinase C gamma type,Protein kinase C gamma type,SINGLE PROTEIN,Homo sapiens,9606,PRKCG,P05129,1,0.085,,0.085,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL2938,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
36,CHEMBL1795151,Bis(5'-adenosyl)-triphosphatase,Bis(5'-adenosyl)-triphosphatase,SINGLE PROTEIN,Homo sapiens,9606,FHIT,P49789,1,0.0849,,0.0849,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL1795151,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
37,CHEMBL5002,Nuclear receptor subfamily 4 group A member 2,Nuclear receptor subfamily 4 group A member 2,SINGLE PROTEIN,Homo sapiens,9606,NR4A2,P43354,1,0.0841,,0.0841,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL5002,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
38,CHEMBL2760,Sphingomyelin phosphodiesterase,Sphingomyelin phosphodiesterase,SINGLE PROTEIN,Homo sapiens,9606,SMPD1,P17405,1,,0.0808,0.0808,I,,,not_applicable_no_D_record,-1,,No_positive_propensity_returned,1,CHEMBL2760,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
39,CHEMBL6002,Cyclin-dependent kinase 19,Cyclin-dependent kinase 19,SINGLE PROTEIN,Homo sapiens,9606,CDK19,Q9BWU1,1,0.0807,,0.0807,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL6002,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
40,CHEMBL299,Protein kinase C alpha type,Protein kinase C alpha type,SINGLE PROTEIN,Homo sapiens,9606,PRKCA,P17252,1,0.0798,0.0328,0.0798,D+I,-1,,No_positive_propensity_returned,-1,,No_positive_propensity_returned,2,CHEMBL299,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
41,CHEMBL1075189,Pyruvate kinase PKM,Pyruvate kinase PKM,SINGLE PROTEIN,Homo sapiens,9606,PKM,P14618,1,0.0789,0.0211,0.0789,D+I,-1,,No_positive_propensity_returned,-1,,No_positive_propensity_returned,2,CHEMBL1075189,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
42,CHEMBL5880,Interleukin-2,Interleukin-2,SINGLE PROTEIN,Homo sapiens,9606,IL2,P60568,1,0.0778,,0.0778,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL5880,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
43,CHEMBL1812,Pancreatic triacylglycerol lipase,Pancreatic triacylglycerol lipase,SINGLE PROTEIN,Homo sapiens,9606,PNLIP,P16233,1,0.076,,0.076,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL1812,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
44,CHEMBL2428,"Myosin light chain kinase, smooth muscle","Myosin light chain kinase, smooth muscle",SINGLE PROTEIN,Homo sapiens,9606,MYLK,Q15746,1,0.0759,,0.0759,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL2428,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
45,CHEMBL1949,Peptidyl-prolyl cis-trans isomerase A,Peptidyl-prolyl cis-trans isomerase A,SINGLE PROTEIN,Homo sapiens,9606,PPIA,P62937,1,,0.0709,0.0709,I,,,not_applicable_no_D_record,0.0173,0.0173,Positive_propensity_returned,1,CHEMBL1949,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
46,CHEMBL3038455,AMPK alpha2/beta1/gamma1,AMPK alpha2/beta1/gamma1,PROTEIN COMPLEX,Homo sapiens,9606,PRKAA2;PRKAG1;PRKAB1,P54646;P54619;Q9Y478,3,,0.0687,0.0687,I,,,not_applicable_no_D_record,-1,,No_positive_propensity_returned,1,CHEMBL3038455,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
