Target_Rank,ChEMBL_Target_ID_Normalized,ChEMBL_Pref_Name,Target_Name_Original,ChEMBL_Target_Type,Organism,Tax_ID,Component_Gene_Symbols,Component_UniProt_Accessions,Component_Count,D_Score,I_Score,Max_Activity_Score,PASS_Evidence_Type,D_Propensity_Score_Raw,D_Propensity_Score_Clean,D_Propensity_Status,I_Propensity_Score_Raw,I_Propensity_Score_Clean,I_Propensity_Status,Raw_Record_Count,Raw_ChEMBL_IDs,Mutation_Context,Score_Band_Descriptive,Prediction_Included,Evidence_Type,Query_Compound,PubChem_CID,Source_Database,Source_Version,Retrieval_Date,Activity_Score_Interpretation,Pharmacologic_Direction,Source_URL
47,CHEMBL6044,Bcl-2-related protein A1,Bcl-2-related protein A1,SINGLE PROTEIN,Homo sapiens,9606,BCL2A1,Q16548,1,0.0682,,0.0682,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL6044,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
48,CHEMBL1250378,Splicing factor 3B subunit 3,Splicing factor 3B subunit 3,SINGLE PROTEIN,Homo sapiens,9606,SF3B3,Q15393,1,,0.0661,0.0661,I,,,not_applicable_no_D_record,0.2573,0.2573,Positive_propensity_returned,1,CHEMBL1250378,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
49,CHEMBL3582,Protein kinase C epsilon type,Protein kinase C epsilon type,SINGLE PROTEIN,Homo sapiens,9606,PRKCE,Q02156,1,0.0631,0.0372,0.0631,D+I,-1,,No_positive_propensity_returned,-1,,No_positive_propensity_returned,2,CHEMBL3582,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
50,CHEMBL2163182,NAD-dependent protein deacylase sirtuin-6,NAD-dependent protein deacylase sirtuin-6,SINGLE PROTEIN,Homo sapiens,9606,SIRT6,Q8N6T7,1,0.063,,0.063,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL2163182,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
51,CHEMBL4822,Beta-secretase 1,Beta-secretase 1,SINGLE PROTEIN,Homo sapiens,9606,BACE1,P56817,1,0.0612,,0.0612,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL4822,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
52,CHEMBL4029,C-X-C chemokine receptor type 1,C-X-C chemokine receptor type 1,SINGLE PROTEIN,Homo sapiens,9606,CXCR1,P25024,1,0.0573,,0.0573,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL4029,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
53,CHEMBL1871,Androgen receptor,Androgen receptor,SINGLE PROTEIN,Homo sapiens,9606,AR,P10275,1,0.0571,,0.0571,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL1871,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
54,CHEMBL220,Acetylcholinesterase,Acetylcholinesterase,SINGLE PROTEIN,Homo sapiens,9606,ACHE,P22303,1,0.0566,,0.0566,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL220,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
55,CHEMBL1795168,CDGSH iron-sulfur domain-containing protein 1,CDGSH iron-sulfur domain-containing protein 1,SINGLE PROTEIN,Homo sapiens,9606,CISD1,Q9NZ45,1,0.0533,,0.0533,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL1795168,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
56,CHEMBL6120,Solute carrier family 22 member 12,Solute carrier family 22 member 12,SINGLE PROTEIN,Homo sapiens,9606,SLC22A12,Q96S37,1,0.0516,,0.0516,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL6120,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
57,CHEMBL1741186,Nuclear receptor ROR-gamma,Nuclear receptor ROR-gamma,SINGLE PROTEIN,Homo sapiens,9606,RORC,P51449,1,,0.0511,0.0511,I,,,not_applicable_no_D_record,-1,,No_positive_propensity_returned,1,CHEMBL1741186,,0.05-<0.10,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
58,CHEMBL2095198,"Sulfonylurea receptor 2, Kir6.2","Sulfonylurea receptor 2, Kir6.2",PROTEIN COMPLEX,Homo sapiens,9606,KCNJ11;ABCC9,Q14654;O60706,2,,0.0488,0.0488,I,,,not_applicable_no_D_record,-1,,No_positive_propensity_returned,1,CHEMBL2095198,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
59,CHEMBL2392,DNA polymerase beta,DNA polymerase beta,SINGLE PROTEIN,Homo sapiens,9606,POLB,P06746,1,0.0458,,0.0458,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL2392,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
60,CHEMBL3351,Acetyl-CoA carboxylase 1,Acetyl-CoA carboxylase 1,SINGLE PROTEIN,Homo sapiens,9606,ACACA,Q13085,1,0.045,,0.045,D,0.0068,0.0068,Positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL3351,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
61,CHEMBL4829,Acetyl-CoA carboxylase 2,Acetyl-CoA carboxylase 2,SINGLE PROTEIN,Homo sapiens,9606,ACACB,O00763,1,0.0433,,0.0433,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL4829,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
62,CHEMBL1995,Prostacyclin receptor,Prostacyclin receptor,SINGLE PROTEIN,Homo sapiens,9606,PTGIR,P43119,1,0.0377,,0.0377,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL1995,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
63,CHEMBL2608,Lysosomal alpha-glucosidase,Lysosomal alpha-glucosidase,SINGLE PROTEIN,Homo sapiens,9606,GAA,P10253,1,0.0376,,0.0376,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL2608,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
64,CHEMBL4523377,Stimulator of interferon genes protein,Stimulator of interferon genes protein,SINGLE PROTEIN,Homo sapiens,9606,STING1,Q86WV6,1,0.0369,0.0031,0.0369,D+I,-1,,No_positive_propensity_returned,-1,,No_positive_propensity_returned,2,CHEMBL4523377;CHEMBL4523377_UNDEFINED MUTATION,UNDEFINED MUTATION,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
65,CHEMBL2052028,Eukaryotic initiation factor 4A-I,Eukaryotic initiation factor 4A-I,SINGLE PROTEIN,Homo sapiens,9606,EIF4A1,P60842,1,,0.0365,0.0365,I,,,not_applicable_no_D_record,-1,,No_positive_propensity_returned,1,CHEMBL2052028,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
66,CHEMBL402,3-hydroxy-3-methylglutaryl-coenzyme A reductase,3-hydroxy-3-methylglutaryl-coenzyme A reductase,SINGLE PROTEIN,Homo sapiens,9606,HMGCR,P04035,1,0.0365,,0.0365,D,0.0359,0.0359,Positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL402,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
67,CHEMBL3880,Heat shock protein HSP 90-alpha,Heat shock protein HSP 90-alpha,SINGLE PROTEIN,Homo sapiens,9606,HSP90AA1,P07900,1,0.0359,,0.0359,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL3880,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
68,CHEMBL3885612,Nuclear receptor subfamily 2 group C member 2/TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,Nuclear receptor subfamily 2 group C member 2/TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,CHIMERIC PROTEIN,Homo sapiens,9606,TAB1;NR2C2,Q15750;P49116,2,,0.0333,0.0333,I,,,not_applicable_no_D_record,0.0336,0.0336,Positive_propensity_returned,1,CHEMBL3885612,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
69,CHEMBL4801,Caspase-1,Caspase-1,SINGLE PROTEIN,Homo sapiens,9606,CASP1,P29466,1,,0.0329,0.0329,I,,,not_applicable_no_D_record,0.0378,0.0378,Positive_propensity_returned,1,CHEMBL4801,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
70,CHEMBL1845,Sodium channel protein type 1 subunit alpha,Sodium channel protein type 1 subunit alpha,SINGLE PROTEIN,Homo sapiens,9606,SCN1A,P35498,1,,0.0318,0.0318,I,,,not_applicable_no_D_record,-1,,No_positive_propensity_returned,1,CHEMBL1845,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
71,CHEMBL2023,Catechol O-methyltransferase,Catechol O-methyltransferase,SINGLE PROTEIN,Homo sapiens,9606,COMT,P21964,1,0.0314,,0.0314,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL2023,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
72,CHEMBL1785,Endothelin receptor type B,Endothelin receptor type B,SINGLE PROTEIN,Homo sapiens,9606,EDNRB,P24530,1,0.0277,,0.0277,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL1785,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
73,CHEMBL6095,DNA (cytosine-5)-methyltransferase 3B,DNA (cytosine-5)-methyltransferase 3B,SINGLE PROTEIN,Homo sapiens,9606,DNMT3B,Q9UBC3,1,,0.0277,0.0277,I,,,not_applicable_no_D_record,-1,,No_positive_propensity_returned,1,CHEMBL6095,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
74,CHEMBL4360,Monocarboxylate transporter 1,Monocarboxylate transporter 1,SINGLE PROTEIN,Homo sapiens,9606,SLC16A1,P53985,1,0.0258,,0.0258,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL4360,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
75,CHEMBL1973,Tyrosinase,Tyrosinase,SINGLE PROTEIN,Homo sapiens,9606,TYR,P14679,1,0.0244,,0.0244,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL1973,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
76,CHEMBL2034,Glucocorticoid receptor,Glucocorticoid receptor,SINGLE PROTEIN,Homo sapiens,9606,NR3C1,P04150,1,0.0123,0.0244,0.0244,D+I,0.0091,0.0091,Positive_propensity_returned,0.0091,0.0091,Positive_propensity_returned,2,CHEMBL2034,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
77,CHEMBL2897,Dual specificity mitogen-activated protein kinase kinase 4,Dual specificity mitogen-activated protein kinase kinase 4,SINGLE PROTEIN,Homo sapiens,9606,MAP2K4,P45985,1,0.0226,,0.0226,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL2897,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
78,CHEMBL4185,Xaa-Pro dipeptidase,Xaa-Pro dipeptidase,SINGLE PROTEIN,Homo sapiens,9606,PEPD,P12955,1,0.0223,,0.0223,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL4185,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
79,CHEMBL3884,Sodium/glucose cotransporter 2,Sodium/glucose cotransporter 2,SINGLE PROTEIN,Homo sapiens,9606,SLC5A2,P31639,1,0.021,,0.021,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL3884,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
80,CHEMBL3305,Sex hormone-binding globulin,Sex hormone-binding globulin,SINGLE PROTEIN,Homo sapiens,9606,SHBG,P04278,1,0.0207,,0.0207,D,0.0013,0.0013,Positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL3305,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
81,CHEMBL3589,Adenosine kinase,Adenosine kinase,SINGLE PROTEIN,Homo sapiens,9606,ADK,P55263,1,,0.0193,0.0193,I,,,not_applicable_no_D_record,-1,,No_positive_propensity_returned,1,CHEMBL3589,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
82,CHEMBL2362979,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2,Probable global transcription activator SNF2L2,SINGLE PROTEIN,Homo sapiens,9606,SMARCA2,P51531,1,0.0192,,0.0192,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL2362979,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
83,CHEMBL208,Progesterone receptor,Progesterone receptor,SINGLE PROTEIN,Homo sapiens,9606,PGR,P06401,1,0.0184,,0.0184,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL208,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
84,CHEMBL4465,Sterol O-acyltransferase 2,Sterol O-acyltransferase 2,SINGLE PROTEIN,Homo sapiens,9606,SOAT2,O75908,1,0.0009,0.0184,0.0184,D+I,0.1227,0.1227,Positive_propensity_returned,0.1227,0.1227,Positive_propensity_returned,2,CHEMBL4465,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
85,CHEMBL2478,Alpha-amylase 1A,Alpha-amylase 1A,SINGLE PROTEIN,Homo sapiens,9606,AMY1A,P0DUB6,1,0.0183,,0.0183,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL2478,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
86,CHEMBL4633,Potassium voltage-gated channel subfamily A member 3,Potassium voltage-gated channel subfamily A member 3,SINGLE PROTEIN,Homo sapiens,9606,KCNA3,P22001,1,,0.0169,0.0169,I,,,not_applicable_no_D_record,-1,,No_positive_propensity_returned,1,CHEMBL4633,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
87,CHEMBL2331064,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2","Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",SINGLE PROTEIN,Homo sapiens,9606,INPPL1,O15357,1,0.0153,,0.0153,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL2331064,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
88,CHEMBL1075094,Nuclear factor erythroid 2-related factor 2,Nuclear factor erythroid 2-related factor 2,SINGLE PROTEIN,Homo sapiens,9606,NFE2L2,Q16236,1,,0.0137,0.0137,I,,,not_applicable_no_D_record,-1,,No_positive_propensity_returned,1,CHEMBL1075094,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
89,CHEMBL236,Delta-type opioid receptor,Delta-type opioid receptor,SINGLE PROTEIN,Homo sapiens,9606,OPRD1,P41143,1,,0.0135,0.0135,I,,,not_applicable_no_D_record,0.09,0.09,Positive_propensity_returned,1,CHEMBL236,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
90,CHEMBL5475,Galectin-8,Galectin-8,SINGLE PROTEIN,Homo sapiens,9606,LGALS8,O00214,1,0.0119,,0.0119,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL5475,,0.01-<0.05,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
91,CHEMBL1977,Vitamin D3 receptor,Vitamin D3 receptor,SINGLE PROTEIN,Homo sapiens,9606,VDR,P11473,1,0.0061,0.004,0.0061,D+I,-1,,No_positive_propensity_returned,-1,,No_positive_propensity_returned,2,CHEMBL1977,,>0-<0.01,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
92,CHEMBL4208,Proteasome component C5,Proteasome component C5,SINGLE PROTEIN,Homo sapiens,9606,PSMB1,P20618,1,0.0045,,0.0045,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL4208,,>0-<0.01,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
93,CHEMBL5291602,"NAD-dependent malic enzyme, mitochondrial","NAD-dependent malic enzyme, mitochondrial",SINGLE PROTEIN,Homo sapiens,9606,ME2,P23368,1,0.0031,,0.0031,D,-1,,No_positive_propensity_returned,,,not_applicable_no_I_record,1,CHEMBL5291602,,>0-<0.01,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
94,CHEMBL1782,Farnesyl pyrophosphate synthase,Farnesyl pyrophosphate synthase,SINGLE PROTEIN,Homo sapiens,9606,FDPS,P14324,1,,0.0023,0.0023,I,,,not_applicable_no_D_record,-1,,No_positive_propensity_returned,1,CHEMBL1782,,>0-<0.01,true,prediction_only,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
