Gene_Symbol,Gene_Name,Entrez_Gene_ID,Ensembl_Gene_ID,Evidence_Tier,In_Strict_28,In_Primary_81,In_MediumExtended_176,In_BroadSensitivity_430,Primary_Source_Databases,Primary_Source_Count,Medium_Source_Databases,Medium_Source_Count,Broad_Source_Databases,Broad_Source_Count,GeneCards_Strict_ge5,GeneCards_Main_ge3,GeneCards_Broad_ge0.9,OMIM_UltraStrict,OMIM_Primary,OMIM_PrimaryPlusExtended,DisGeNET_Primary_raw_ge0.30,DisGeNET_Conservative_EI_ge0.80,DisGeNET_HumanLiterature,GeneCards_Relevance_Score,GeneCards_Knowledge_Score,OMIM_Gene_MIM_ID,OMIM_Phenotype_MIM_IDs,OMIM_Evidence_Layers,OMIM_Mechanism_Tags,DisGeNET_Raw_GDA_Score,DisGeNET_EI,DisGeNET_N_PMIDs,Interpretation_Note
A2M,Alpha-2-Macroglobulin,2,ENSG00000175899,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,1.3100295,91.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ABCB1,ATP Binding Cassette Subfamily B Member 1,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.120679,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ABCC8,ATP Binding Cassette Subfamily C Member 8,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.0830133,99.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ACE,Angiotensin I Converting Enzyme,1636,ENSG00000159640,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,3.3120809,100.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ACE2,Angiotensin Converting Enzyme 2,59272,ENSG00000130234,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,3.5613837,89.0,,,,,0.25,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ACSL4,acyl-CoA synthetase long chain family member 4,2182,ENSG00000068366,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ACTA2,"Actin Alpha 2, Smooth Muscle",59,,MediumExtended,False,False,True,True,,0,OMIM,1,GeneCards;OMIM,2,False,False,True,False,False,True,False,False,False,1.7399148,100.0,102620,613834;614042,Extended_Etiologic,arteriopathy;moyamoya,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ADA2,Adenosine Deaminase 2,51816,,MediumExtended,False,False,True,True,,0,OMIM,1,GeneCards;OMIM,2,False,False,True,False,False,True,False,False,False,1.3140942,81.0,607575,615688,Extended_Etiologic,vasculitis,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ADAMTS13,ADAM Metallopeptidase With Thrombospondin Type 1 Motif 13,11093,ENSG00000160323,Strict,True,True,True,True,GeneCards,1,GeneCards;OMIM,2,GeneCards;OMIM;DisGeNET,3,True,True,True,False,False,True,False,False,True,7.103341,97.0,604134,274150,Extended_Etiologic,microangiopathy,0.2,0.7142857142857143,7,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ADIPOQ,"Adiponectin, C1Q And Collagen Domain Containing",,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.618697,85.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ADORA3,adenosine A3 receptor,140,ENSG00000282608,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.25,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
AGER,Advanced Glycosylation End-Product Specific Receptor,177,ENSG00000204305,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.5902042,94.0,,,,,0.2,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ALB,Albumin,213,ENSG00000163631,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,10.213423,100.0,,,,,0.3,1.0,19,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ALOX5AP,Arachidonate 5-lipoxygenase activating protein,241,,Strict,True,True,True,True,OMIM,1,OMIM,1,OMIM,1,False,False,False,True,True,True,False,False,False,,,603700,601367,UltraStrict_Direct_AIS,direct_ischemic,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ALPL,"alkaline phosphatase, biomineralization associated",249,ENSG00000162551,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ANGPTL4,Angiopoietin Like 4,51129,ENSG00000167772,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.374183,81.0,,,,,0.25,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ANO1,Anoctamin 1,55107,,MediumExtended,False,False,True,True,,0,OMIM,1,OMIM,1,False,False,False,False,False,True,False,False,False,,,610108,620687,Extended_Etiologic,moyamoya,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
APOA1,Apolipoprotein A1,,,Strict,True,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,True,True,True,False,False,False,False,False,False,5.007799,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
APOE,Apolipoprotein E,348,ENSG00000130203,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,4.251947,100.0,,,,,0.2,0.8333333333333334,6,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
AQP4,Aquaporin 4,361,ENSG00000171885,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,4.5588017,78.0,,,,,0.25,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ARHGEF15,Rho guanine nucleotide exchange factor 15,22899,,Primary,False,True,True,True,OMIM,1,OMIM,1,OMIM,1,False,False,False,False,True,True,False,False,False,,,608504,621331,Primary_Adult_Monogenic,arteriopathy,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
AVP,Arginine Vasopressin,551,ENSG00000101200,Strict,True,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,False,True,True,6.224776,89.0,,,,,0.2,1.0,9,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
BDNF,Brain Derived Neurotrophic Factor,627,ENSG00000176697,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,8.27195,100.0,,,,,0.3,0.8181818181818182,11,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
BRCC3,BRCA1/BRCA2-Containing Complex Subunit 3,79184,,MediumExtended,False,False,True,True,,0,OMIM,1,GeneCards;OMIM,2,False,False,True,False,False,True,False,False,False,1.3140942,83.0,300617,300845,Extended_Etiologic,moyamoya,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
C3,Complement C3,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.0656753,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
C4B,Complement C4B (Chido/Rodgers Blood Group),721,ENSG00000224389,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.7043025,90.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CALCA,Calcitonin Related Polypeptide Alpha,796,ENSG00000110680,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.9423192,80.0,,,,,0.2,1.0,4,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CASP3,Caspase 3,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,4.878299,91.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CAV1,Caveolin 1,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.7809563,97.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CBS,Cystathionine beta-synthase,875,,MediumExtended,False,False,True,True,,0,OMIM,1,OMIM,1,False,False,False,False,False,True,False,False,False,,,613381,236200,Extended_Etiologic,metabolic_thrombosis,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CCL2,C-C Motif Chemokine Ligand 2,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.881479,87.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CD163,CD163 molecule,9332,ENSG00000177575,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CD34,CD34 molecule,947,ENSG00000174059,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CHI3L1,Chitinase 3 Like 1,1116,ENSG00000133048,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,4.7784796,79.0,,,,,0.2,1.0,7,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CLDN5,Claudin 5,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,4.842616,76.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
COL4A1,Collagen Type IV Alpha 1 Chain,1282,,MediumExtended,False,False,True,True,,0,OMIM,1,GeneCards;OMIM,2,False,False,True,False,False,True,False,False,False,1.7399148,97.0,120130,175780;611773,Extended_Etiologic,mixed_small_vessel,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CORT,cortistatin,1325,ENSG00000241563,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CPB2,Carboxypeptidase B2,1361,ENSG00000080618,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,3.3885136,82.0,,,,,0.2,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CRP,C-Reactive Protein,1401,ENSG00000132693,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,True,True,True,21.152647,87.0,,,,,0.3,0.9210526315789472,38,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CSF2,colony stimulating factor 2,1437,ENSG00000164400,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CSF3,Colony Stimulating Factor 3,1440,ENSG00000108342,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,1.8315511,83.0,,,,,0.2,0.8,5,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CST3,Cystatin C,1471,ENSG00000101439,Strict,True,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,True,True,True,False,False,False,False,True,True,6.0733933,79.0,,,,,0.25,1.0,4,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CTSA,Cathepsin A,5476,,MediumExtended,False,False,True,True,,0,OMIM,1,OMIM,1,False,False,False,False,False,True,False,False,False,,,613111,621394,Extended_Etiologic,mixed_small_vessel,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CXCL12,C-X-C Motif Chemokine Ligand 12,6387,ENSG00000107562,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,3.618697,92.0,,,,,0.2,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CXCL8,C-X-C Motif Chemokine Ligand 8,3576,ENSG00000169429,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.106667,88.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CXCR4,C-X-C Motif Chemokine Receptor 4,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.0656753,100.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
CYP2C19,Cytochrome P450 Family 2 Subfamily C Member 19,1557,ENSG00000165841,Strict,True,True,True,True,GeneCards,1,GeneCards,1,GeneCards;DisGeNET,2,True,True,True,False,False,False,False,False,True,5.4051743,92.0,,,,,0.2,0.5,4,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
DKK1,Dickkopf Wnt Signaling Pathway Inhibitor 1,22943,ENSG00000107984,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.374183,86.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
DKK3,dickkopf Wnt signaling pathway inhibitor 3,27122,ENSG00000050165,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
DLG4,Discs Large MAGUK Scaffold Protein 4,1742,ENSG00000132535,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.9303856,100.0,,,,,0.25,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
DLGAP4,DLG associated protein 4,22839,ENSG00000080845,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.25,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
DNASE1,Deoxyribonuclease 1,1773,ENSG00000213918,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,1.7358501,82.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
DNMT3A,DNA Methyltransferase 3 Alpha,1788,ENSG00000119772,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,1.6111301,100.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
DPP4,Dipeptidyl Peptidase 4,1803,ENSG00000197635,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,1.6111301,88.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
EDN1,Endothelin 1,1906,ENSG00000078401,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.278482,90.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ENG,Endoglin,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.2974052,98.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ENHO,Energy Homeostasis Associated,375704,ENSG00000168913,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,1.7358501,46.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
ENO1,Enolase 1,,,Strict,True,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,True,True,True,False,False,False,False,False,False,7.8742743,92.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
EPO,Erythropoietin,2056,ENSG00000130427,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.6465712,85.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
F13A1,Coagulation Factor XIII A Chain,2162,ENSG00000124491,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.153762,95.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
F2,"Coagulation Factor II, Thrombin",2147,ENSG00000180210,Strict,True,True,True,True,OMIM,1,OMIM,1,GeneCards;OMIM;DisGeNET,3,False,False,True,True,True,True,False,False,True,2.5259428,100.0,176930,601367,UltraStrict_Direct_AIS,direct_ischemic,0.2,0.6666666666666666,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
F5,Coagulation Factor V,2153,,Strict,True,True,True,True,OMIM,1,OMIM,1,GeneCards;OMIM,2,False,False,True,True,True,True,False,False,False,2.374183,99.0,612309,601367;188055,UltraStrict_Direct_AIS;Extended_Etiologic,direct_ischemic;thrombophilia,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
F8,Coagulation Factor VIII,2157,ENSG00000185010,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.7805169,99.0,,,,,0.2,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
FABP4,Fatty Acid Binding Protein 4,2167,ENSG00000170323,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,4.0559306,83.0,,,,,0.2,1.0,5,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
FBF1,Fas binding factor 1,85302,ENSG00000188878,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
FGA,fibrinogen alpha chain,2243,ENSG00000171560,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
FGF2,fibroblast growth factor 2,2247,ENSG00000138685,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
FN1,fibronectin 1,2335,ENSG00000115414,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
FTO,FTO Alpha-Ketoglutarate Dependent Dioxygenase,79068,ENSG00000140718,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,1.6111301,94.0,,,,,0.2,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
GCFC2,GC-rich sequence DNA-binding factor 2,6936,ENSG00000005436,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.25,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
GDF15,Growth Differentiation Factor 15,9518,ENSG00000130513,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,3.523361,76.0,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
GFAP,Glial Fibrillary Acidic Protein,2670,ENSG00000131095,Strict,True,True,True,True,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,True,True,True,4.521371,100.0,,,,,0.3,0.9090909090909092,11,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
GLA,Galactosidase Alpha,2717,,MediumExtended,False,False,True,True,,0,OMIM,1,GeneCards;OMIM,2,False,False,True,False,False,True,False,False,False,2.5902042,94.0,300644,301500,Extended_Etiologic,metabolic_vasculopathy,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
GP6,Glycoprotein VI Platelet,51206,ENSG00000088053,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,1.6111301,90.0,,,,,0.25,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
GPM6A,glycoprotein M6A,2823,ENSG00000150625,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
GRIN1,glutamate ionotropic receptor NMDA type subunit 1,2902,ENSG00000176884,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,3,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
GSDMD,gasdermin D,79792,ENSG00000104518,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
GUCY1A1,Guanylate Cyclase 1 Soluble Subunit Alpha 1,2982,,MediumExtended,False,False,True,True,,0,OMIM,1,GeneCards;OMIM,2,False,False,True,False,False,True,False,False,False,1.3140942,89.0,139396,615750,Extended_Etiologic,moyamoya,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
HABP2,Hyaluronan Binding Protein 2,3026,ENSG00000148702,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,2.153762,84.0,,,,,0.25,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
HBB,Hemoglobin Subunit Beta,3043,ENSG00000244734,MediumExtended,False,False,True,True,,0,OMIM;DisGeNET,2,GeneCards;OMIM;DisGeNET,3,False,False,True,False,False,True,False,True,True,1.3140942,100.0,141900,603903,Extended_Etiologic,hematologic,0.2,1.0,5,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
HDAC2,Histone Deacetylase 2,3066,ENSG00000196591,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,1.7358501,92.0,,,,,0.25,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
HECTD1,HECT Domain E3 Ubiquitin Protein Ligase 1,25831,ENSG00000092148,MediumExtended,False,False,True,True,,0,DisGeNET,1,GeneCards;DisGeNET,2,False,False,True,False,False,False,False,True,True,1.6111301,77.0,,,,,0.25,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
HGF,hepatocyte growth factor,3082,ENSG00000019991,MediumExtended,False,False,True,True,,0,DisGeNET,1,DisGeNET,1,False,False,False,False,False,False,False,True,True,,,,,,,0.2,1.0,2,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
HIF1A,Hypoxia Inducible Factor 1 Subunit Alpha,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,4.486366,96.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
HMGB1,High Mobility Group Box 1,3146,ENSG00000189403,Primary,False,True,True,True,GeneCards,1,GeneCards;DisGeNET,2,GeneCards;DisGeNET,2,False,True,True,False,False,False,False,True,True,4.3031163,94.0,,,,,0.2,1.0,4,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
HR,HR Lysine Demethylase And Nuclear Receptor Corepressor,,,Primary,False,True,True,True,GeneCards,1,GeneCards,1,GeneCards,1,False,True,True,False,False,False,False,False,False,3.2676756,83.0,,,,,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
HTRA1,HTRA serine peptidase 1,5654,,Primary,False,True,True,True,OMIM,1,OMIM,1,OMIM,1,False,False,False,False,True,True,False,False,False,,,602194,600142;616779,Primary_Adult_Monogenic,arteriopathy,,,,Disease association evidence; not necessarily causal and not proof of therapeutic relevance.
