Gene_Symbol,UniProt_Accessions,Target_Names,Source_Databases,Source_Count,Source_Databases_Excluding_COMET,Source_Count_Excluding_COMET,CrossSupport_Excluding_COMET,Evidence_Tier,In_Strict_25,In_CrossPriority_22,In_Recommended_42,In_Extended_171,SwissTargetPrediction,SuperPred,PharmMapper,PPB3,COMET,PASSTargets,NetInfer,Swiss_Probability,SuperPred_Probability,SuperPred_Model_Accuracy,PharmMapper_Best_Norm_Fit,PharmMapper_Max_zscore,PPB3_Confidence_Score,COMET_Probability,PASSTargets_Max_Activity_Score,NetInfer_Score,NetInfer_Rank,Inclusion_Reason,Interpretation_Note
ALOX15,P16050,Arachidonate 15-lipoxygenase,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.81,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
ANG,P03950,Angiogenin,PharmMapper,1,PharmMapper,1,False,Strict,True,False,True,True,False,False,True,False,False,False,False,,,,0.9395,5.29663,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
APEX1,P27695,DNA-(apurinic or apyrimidinic site) lyase,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.9027,0.9111,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
AR,P10275,Androgen receptor;Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0571,1.83044,8,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
BCHE,P06276,Cholinesterase;Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase),NetInfer;PharmMapper,2,NetInfer;PharmMapper,2,True,CrossDatabasePriority,False,True,True,True,False,False,True,False,False,False,True,,,,0.8639,0.0800393,,,,1.15026,28,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CA12,O43570,Carbonic anhydrase 12,PharmMapper,1,PharmMapper,1,False,Strict,True,False,True,True,False,False,True,False,False,False,False,,,,0.9763,1.37322,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CA2,P00918,Carbonic anhydrase 2;Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II),NetInfer;PharmMapper,2,NetInfer;PharmMapper,2,True,CrossDatabasePriority,False,True,True,True,False,False,True,False,False,False,True,,,,0.7312,1.32481,,,,1.23135,23,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CACNA1B,Q00975,Voltage-gated N-type calcium channel alpha-1B subunit,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8528,0.9714,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CASP1,P29466,Caspase-1;Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20;Caspase-1 subunit p10],NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0329,0.841848,39,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CNR2,P34972,Cannabinoid CB2 receptor,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8843,0.9725,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CSNK2B,P67870,Casein kinase II alpha/beta,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8302,0.9923,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
CTSD,P07339,Cathepsin D,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8035,0.9895,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
DRD2,P14416,D(2) dopamine receptor;D(2) dopamine receptor (Dopamine D2 receptor),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.134,1.18635,25,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GLRA1,P23415,Glycine receptor subunit alpha-1;Glycine receptor subunit alpha-1 (Glycine receptor 48 kDa subunit) (Glycine receptor strychnine-binding subunit),COMET;NetInfer;PASSTargets;SwissTargetPrediction,4,NetInfer;PASSTargets;SwissTargetPrediction,3,True,Strict_and_CrossSupported,True,True,True,True,True,False,False,False,True,True,True,0.9285033668861793,,,,,,0.0003326099831610918,0.3681,0.81402,43,Meets a strict predictor rule and appears in at least two selected sources,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GLRA2,P23416,Glycine receptor subunit alpha-2,COMET;SwissTargetPrediction,2,SwissTargetPrediction,1,False,Strict_and_CrossSupported,True,True,True,True,True,False,False,False,True,False,False,0.9281293277882243,,,,,,0.00024307151034008712,,,,Meets a strict predictor rule and appears in at least two selected sources,"Prediction evidence only; database repetition is prioritization, not experimental validation."
GUSB,P08236,Beta-glucuronidase,SwissTargetPrediction,1,SwissTargetPrediction,1,False,Strict,True,False,True,True,True,False,False,False,False,False,False,0.9273758288310694,,,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
HIF1A,Q16665,Hypoxia-inducible factor 1 alpha,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8358,0.8514,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
HMGCR,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase;3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0365,1.60169,13,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
HSD17B10,Q99714,Endoplasmic reticulum-associated amyloid beta-peptide-binding protein,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.4,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
HSP90AA1,P07900,Heat shock protein HSP 90-alpha,PASSTargets;PharmMapper,2,PASSTargets;PharmMapper,2,True,CrossDatabasePriority,False,True,True,True,False,False,True,False,False,True,False,,,,0.8427,0.166984,,,0.0359,,,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
LMNA,P02545,Prelamin-A/C,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.35,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2;Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (HEBP1) (Nuclear factor;erythroid derived 2;like 2),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0137,0.994384,31,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
NFKB1,P19838,Nuclear factor NF-kappa-B p105 subunit,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8117,0.9609,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
NR3C1,P04150,Glucocorticoid receptor;Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0244,0.804871,46,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
OPRD1,P41143,Delta-type opioid receptor;Delta-type opioid receptor (D-OR-1) (DOR-1),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0135,0.996497,30,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
OPRK1,P41145,Kappa-type opioid receptor;Kappa-type opioid receptor (K-OR-1) (KOR-1),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.2131,1.89741,7,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PGR,P06401,Progesterone receptor;Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0184,1.29916,19,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PNLIP,P16233,Pancreatic triacylglycerol lipase;Pancreatic triacylglycerol lipase (PL) (PTL) (Pancreatic lipase) (EC 3.1.1.3),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.076,1.111,29,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PPIA,P62937,Peptidyl-prolyl cis-trans isomerase A,PASSTargets;PharmMapper,2,PASSTargets;PharmMapper,2,True,Strict_and_CrossSupported,True,True,True,True,False,False,True,False,False,True,False,,,,0.9463,1.01718,,,0.0709,,,Meets a strict predictor rule and appears in at least two selected sources,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PRKCA,P17252,Protein kinase C alpha type;Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0798,1.17691,26,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PTAFR,P25105,Platelet-activating factor receptor;Platelet-activating factor receptor (PAF-R) (PAFr),NetInfer;SwissTargetPrediction,2,NetInfer;SwissTargetPrediction,2,True,Strict_and_CrossSupported,True,True,True,True,True,False,False,False,False,False,True,0.9273758288310694,,,,,,,,2.67584,1,Meets a strict predictor rule and appears in at least two selected sources,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SF3B3,Q15393,Splicing factor 3B subunit 3;Splicing factor 3B subunit 3 (Pre-mRNA-splicing factor SF3b 130 kDa subunit) (SF3b130) (STAF130) (Spliceosome-associated protein 130) (SAP 130),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0661,1.23659,22,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SHBG,P04278,Sex hormone-binding globulin;Sex hormone-binding globulin (SHBG) (Sex steroid-binding protein) (SBP) (Testis-specific androgen-binding protein) (ABP) (Testosterone-estradiol-binding globulin) (TeBG) (Testosterone-estrogen-binding globulin),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0207,1.65222,10,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SLC5A2,P31639,Sodium/glucose cotransporter 2;Sodium/glucose cotransporter 2 (Na(+)/glucose cotransporter 2) (Low affinity sodium-glucose cotransporter) (Solute carrier family 5 member 2),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.021,0.981711,33,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SLCO1B1,Q9Y6L6,Solute carrier organic anion transporter family member 1B1,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.41,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SLCO1B3,Q9NPD5,Solute carrier organic anion transporter family member 1B3,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.5,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SMN1,Q16637,Survival motor neuron protein,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.83,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SMN2,Q16637,Survival motor neuron protein,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.83,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
THRB,P10828,Thyroid hormone receptor beta-1,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.43,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
TOP2A,P11388,DNA topoisomerase 2-alpha;DNA topoisomerase II alpha,PASSTargets;SuperPred,2,PASSTargets;SuperPred,2,True,Strict_and_CrossSupported,True,True,True,True,False,True,False,False,False,True,False,,0.8636,0.89,,,,,0.2638,,,Meets a strict predictor rule and appears in at least two selected sources,"Prediction evidence only; database repetition is prioritization, not experimental validation."
TRIM24,O15164,Transcription intermediary factor 1-alpha,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8745,0.9556,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
TSHR,P16473,Thyroid stimulating hormone receptor,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.35,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
